,HS부호,한글품목명,영문품목명,중량단위코드
10847,8538100000,"보드ㆍ패널ㆍ콘솔ㆍ책상ㆍ캐비닛과 그 밖의 기반(基盤)(제8537호의 물품용으로 한정하며, 이들 기기를 장착하여 조립한 것은 제외한다)","Boards, panels, consoles, desks, cabinets and other bases for the goods of heading 85.37, not equipped with their apparatus",KG
10848,8538901000,개폐기의 것,Of switches,KG
10849,8538902000,자동차단기의 것,Of automatic circuit breakers,KG
10850,8538903000,계전기의 것,Of relays,KG
10851,8538905000,전기제어용의 것,For electric control,KG
10852,8538909000,기타,Other,KG
10853,8539100000,실드빔 램프 유닛(sealed beam lamp unit),Sealed beam lamp units,KG
10854,8539210000,텅스텐 할로겐의 것,Tungsten halogen,KG
10855,8539221000,백열램프,Incandescent lamps,KG
10856,8539223000,빔 램프,Beam lamps,KG
10857,8539229000,기타,Other,KG
10858,8539290000,기타,Other,KG
10859,8539310000,형광램프(열음극형으로 한정한다),"Fluorescent, hot cathode",KG
10860,8539321000,수은램프,Mercury lamps,KG
10861,8539322000,나트륨 증기 램프,Sodium vapour lamps,KG
10862,8539323000,메탈 할라이드(metal halide)램프,Metal halide lamps,KG
10863,85393910,냉음극 형광램프,Cold cathode fluorescent lamp (CCFL),
10864,8539391010,평판디스플레이의 후면광원(backlighting)용 ,For backlighting of flat panel displays,KG
10865,8539391090,기타,Other,KG
10866,8539399000,기타,Other,KG
10867,8539410000,아크램프,Arc lamps,KG
10868,85394910,자외선 램프,Ultra-violet lamps,
10869,8539491010,반도체 제조용 기기의 것,Of machines and mechanical appliances for making semiconductor devices,KG
10870,8539491090,기타,Other,KG
10871,8539492000,적외선 램프,Infra-red lamps,KG
10872,8539510000,발광다이오드(엘이디) 모듈,Light-emitting diode (LED) modules,KG
10873,8539520000,발광다이오드(엘이디) 램프,Light-emitting diode (LED) lamps,KG
10874,8539901000,필라멘트 램프의 것,Of filament lamps,KG
10875,8539902000,방전램프의 것,Of discharge lamps,KG
10876,8539909000,기타,Other,KG
10877,8540110000,천연색,Colour,KG
10878,8540120000,단색,Monochrome,KG
10879,8540200000,"텔레비전용 촬상관(camera tube), 영상변환관, 영상증강관(image intensifier), 그 밖의 광전관(photocathode tube)",Television camera tubes; image converters and intensifiers; other photo-cathode tubes,KG
10880,8540400000,"데이터/그래픽 직시관(display tube)(단색), 데이터/그래픽 직시관(display tube)(천연색으로서 인광물질 도트화면 간격이 0.4밀리미터 미만인 것으로 한정한다)","Data/graphic display tubes, monochrome; data/graphic display tubes, colour, with a phosphor dot screen pitch smaller than 0.4 ㎜",KG
10881,8540601000,천연색,Colour,KG
10882,8540609000,기타,Other,KG
10883,8540710000,자전관(magnetron),Magnetrons,KG
10884,8540791000,속도변조관(klystron),Klystrons,KG
10885,8540799000,기타,Other,KG
10886,8540810000,수신관이나 증폭관,Receiver or amplifier valves and tubes,KG
10887,8540891000,송신기용 열전자관,Thermionic valves and tubes for transmitters,KG
10888,8540892000,방전관,Discharge tubes,KG
10889,8540899000,기타,Other,KG
10890,8540910000,음극선관의 것,Of cathode-ray tubes,KG
10891,8540990000,기타,Other,KG
10892,8541101000,"칩, 다이스와 절단되지 않은 웨이퍼","Chips, dice and wafers not yet cut into chips",KG
10893,8541109000,기타,Other,KG
10894,8541211000,"칩, 다이스와 절단되지 않은 웨이퍼","Chips, dice and wafers not yet cut into chips",KG
10895,8541219000,기타,Other,KG
10896,8541291000,"칩, 다이스와 절단되지 않은 웨이퍼","Chips, dice and wafers not yet cut into chips",KG
10897,8541299000,기타,Other,KG
10898,8541301000,"칩, 다이스와 절단되지 않은 웨이퍼","Chips, dice and wafers not yet cut into chips",KG
10899,8541302000,사이리스터(thyristor),Thyristors,KG
10900,8541303000,다이액(diac),Diacs,KG
10901,8541304000,트라이액(triac),Triacs,KG
10902,8541411000,레이저소자,Laser devices,KG
10903,8541419000,기타,Other,KG
10904,8541420000,광전지(모듈에 조립되었거나 패널로 구성된 것은 제외한다),Photovoltaic cells not assembled in modules or made up into panels,KG
10905,8541430000,광전지(모듈에 조립되었거나 패널로 구성된 것으로 한정한다),Photovoltaic cells assembled in modules or made up into panels,KG
10906,8541491000,"칩, 다이스와 절단되지 않은 웨이퍼","Chips, dice and wafers not yet cut into chips",KG
10907,8541492000,광전도 셀,Photoconductive cells,KG
10908,8541493000,전하결합소자,Charge coupled devices (CCD),KG
10909,8541499000,기타,Other,KG
10910,8541511000,센서,Sensors,KG
10911,8541512000,액추에이터,Actuator,KG
10912,8541513000,공진기,Resonators,KG
10913,8541514000,오실레이터,Oscillators,KG
10914,8541591000,"칩, 다이스와 절단되지 않은 웨이퍼","Chips, dice and wafers not yet cut into chips",KG
10915,8541599000,기타,Other,KG
10916,8541601000,수정진동자,Crystal vibrator,KG
10917,8541609000,기타,Other,KG
10918,8541902000,다이오드의 것,Of diodes,KG
10919,8541903000,트랜지스터의 것,Of transistors,KG
10920,8541909000,기타,Other,KG
10921,8542311000,모노리식(monolithic) 집적회로,Monolithic integrated circuits,KG
10922,8542312000,하이브리드 집적회로,Hybrid integrated circuits,KG
10923,8542313000,복합구조칩 집적회로,Multichip integrated circuits,KG
10924,8542314000,복합부품 집적회로(MCOs),Multi-component integrated circuits (MCOs),KG
10925,85423210,모노리식(monolithic) 집적회로,Monolithic integrated circuits,
10926,8542321010,디램,DRAM (Dynamic random access memory),KG
10927,8542321020,에스램,SRAM (Static random access memory),KG
10928,8542321030,플래시 메모리,Flash memory,KG
10929,8542321090,기타,Other,KG
10930,8542322000,하이브리드 집적회로,Hybrid integrated circuits,KG
10931,8542323000,복합구조칩 집적회로,Multichip integrated circuits,KG
10932,8542324000,복합부품 집적회로(MCOs),Multi-component integrated circuits (MCOs),KG
10933,8542331000,모노리식(monolithic) 집적회로,Monolithic integrated circuits,KG
10934,8542332000,하이브리드 집적회로,Hybrid integrated circuits,KG
10935,8542333000,복합구조칩 집적회로,Multichip integrated circuits,KG
10936,8542334000,복합부품 집적회로(MCOs),Multi-component integrated circuits (MCOs),KG
10937,8542391000,모노리식(monolithic) 집적회로,Monolithic integrated circuits,KG
10938,8542392000,하이브리드 집적회로,Hybrid integrated circuits,KG
10939,8542393000,복합구조칩 집적회로,Multichip integrated circuits,KG
10940,8542394000,복합부품 집적회로(MCOs),Multi-component integrated circuits (MCOs),KG
10941,8542900000,부분품,Parts,KG
10942,8543100000,입자가속기,Particle accelerators,KG
10943,8543200000,신호발생기,Signal generators,KG
10944,8543301000,인쇄회로의 제조에 전용되거나 주로 사용되는 종류의 것(전기영동용은 제외한다),"Of a kind used solely or principally for the manufacture of printed circuits, other than for electrophoresis",KG
10945,8543309000,기타,Other,KG
10946,8543401000,연소시키지 않고 흡입하도록 만들어진 물품(제2404호의 것으로 한정한다)을 포함한 것,Of containing products intended for inhalation without combustion of heading 24.04,KG
10947,8543409000,기타,Other,KG
10948,8543701000,일렉트릭 펜스 에너자이저,Electric fence energisers,KG
10949,85437020,가정형,For household type,
10950,8543702010,이온정수기,Medicated water electrolysis apparatus,KG
10951,8543702020,미용기기,Electrical beauty appliances,KG
10952,8543702030,오디오믹서,Audio mixers,KG
10953,8543702040,이퀄라이저,Equalizers,KG
10954,8543702050,오존 발생기,Ozone generator,KG
10955,8543702090,기타,Other,KG
10956,8543703000,전자번역기ㆍ전자사전,Electrical machines with translation or dictionary functions,KG
10957,8543705000,유선전신용ㆍ유선전화용 기기 또는 유선전신용ㆍ유선전화용 통신망 연결용 제품,Articles for connection to telegraphic or telephonic apparatus or instruments or to telegraphic or telephonic networks,KG
10958,85437090,기타,Other,
10959,8543709010,고주파증폭기,High frequency amplifiers,KG
10960,8543709020,디텍터(소호 제8541.51호의 것을 제외한다),"Detectors, other than those of subheading 8541.51",KG
10961,8543709040,비디오게임 콘솔용 무선 적외선 원격조절장치,Cordless infrared remote control devices for video game consoles,KG
10962,8543709050,디지털 비행 데이터 기록 장치,Digital flight-data recorders,KG
10963,8543709060,"휴대용 배터리로 작동하는 전자 리더기(문자, 정지화상 또는 음성파일의 기록 및 재생용으로 한정한다)","Portable battery operated electronic reader for recording and reproducing text, still image or audio file",KG
10964,8543709070,디지털신호처리기(사운드 믹싱을 위해 유선 또는 무선 통신망에 연결되는 것으로 한정한다),Digital signal processing apparatus capable of connecting to a wired or wireless network for the mixing of sound,KG
